smiles,source
CNc1cc(-c2c(-c3cnc(C#N)cn3)cccc2N2CCOC[C@H]2C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(-c3cnc(C#N)cn3)cccc2N2CCOC[C@H]2C)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(-c3cncc4[nH]ccc34)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(-c3cncc4[nH]ccc34)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(-c3cncc4[nH]ccc34)cccc2N2CCOC[C@H]2C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(-c3cncc4[nH]ccc34)cccc2N2CCOC[C@H]2C)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(-c3cncc4[nH]ccc34)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(-c3cncc4[nH]ccc34)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(N(C)C)cccc2C2([S@](C)(=N)=O)CC2)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(N(C)C)cccc2C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(N(C)C)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(N(C)C)cccc2N(C)C)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(N(C)C)cccc2N2CCOC[C@H]2C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(N(C)C)cccc2N2CCOC[C@H]2C)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(N(C)C)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(N(C)C)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(N3CCOC[C@H]3C)cccc2C2([S@](C)(=N)=O)CC2)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(N3CCOC[C@H]3C)cccc2C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(N3CCOC[C@H]3C)cccc2N2CCOC[C@H]2C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(N3CCOC[C@H]3C)cccc2N2CCOC[C@H]2C)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(N3CCOC[C@H]3C)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(N3CCOC[C@H]3C)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(NC)cccc2-c2ccc(S(=O)(=O)C(C)C)cc2)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(NC)cccc2-c2cnc(C#N)cn2)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(NC)cccc2-c2cncc3[nH]ccc23)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(NC)cccc2C2([S@](C)(=N)=O)CC2)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(NC)cccc2N(C)C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(NC)cccc2N2CCOC[C@H]2C)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(NC)cccc2NC)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(NC)cccc2OC)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(NC)cccc2[C@]2(O)C[C@H]3CC[C@@H](C2)O3)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(OC)cccc2-c2ccc(S(=O)(=O)C(C)C)cc2)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(OC)cccc2-c2ccc(S(=O)(=O)C(C)C)cc2)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(OC)cccc2-c2cnc(C#N)cn2)c2cnn(C3=NN=CC3)c2n1,derivative
CNc1cc(-c2c(OC)cccc2-c2cnc(C#N)cn2)nc2c1cnn2C1=NN=CC1,derivative
CNc1cc(-c2c(OC)cccc2-c2cncc3[nH]ccc23)c2cnn(C3=NN=CC3)c2n1,derivative
